Word,No. of Reports Containing Word,Reports
AFTERNOON, 333, 26; 32; 37; 51; 61; 68; 71; 86; 104; 111; 119; 139; 149; 210; 212; 252; 278; 283; 291; 303; 306; 357; 363; 371; 440; 443; 445; 452; 462; 488; 524; 538; 582; 592; 604; 655; 697; 712; 742; 756; 759; 761; 787; 793; 796; 803; 809; 816; 832; 843; 892; 896; 914; 923; 933; 954; 959; 960; 962; 967; 973; 978; 1002; 1018; 1026; 1028; 1053; 1056; 1059; 1066; 1189; 1193; 1216; 1219; 1236; 1239; 1241; 1244; 1254; 1266; 1267; 1273; 1287; 1304; 1334; 1335; 1362; 1381; 1383; 1384; 1391; 1412; 1417; 1425; 1432; 1449; 1450; 1490; 1494; 1527; 1550; 1565; 1593; 1599; 1621; 1631; 1647; 1670; 1692; 1695; 1704; 1733; 1780; 1781; 1795; 1806; 1814; 1834; 1841; 1914; 1920; 1926; 1941; 1951; 1960; 1971; 1982; 1986; 2012; 2040; 2052; 2063; 2066; 2074; 2079; 2080; 2082; 2084; 2103; 2104; 2112; 2141; 2174; 2215; 2219; 2244; 2246; 2311; 2335; 2337; 2376; 2386; 2390; 2391; 2407; 2411; 2434; 2437; 2445; 2447; 2467; 2468; 2479; 2497; 2502; 2557; 2586; 2594; 2597; 2604; 2607; 2619; 2662; 2664; 2668; 2674; 2684; 2685; 2691; 2693; 2695; 2705; 2754; 2757; 2770; 2774; 2789; 2794; 2812; 2817; 2833; 2871; 2876; 2889; 2896; 2909; 2918; 2932; 2945; 2949; 2960; 2982; 3017; 3018; 3035; 3046; 3049; 3051; 3075; 3118; 3134; 3156; 3163; 3167; 3176; 3190; 3212; 3243; 3272; 3274; 3290; 3304; 3311; 3312; 3326; 3342; 3362; 3370; 3378; 3386; 3388; 3389; 3399; 3400; 3411; 3421; 3465; 3466; 3469; 3474; 3480; 3503; 3506; 3523; 3531; 3539; 3547; 3553; 3558; 3575; 3586; 3589; 3611; 3626; 3629; 3636; 3642; 3649; 3663; 3667; 3676; 3740; 3747; 3760; 3770; 3779; 3789; 3805; 3808; 3811; 3826; 3839; 3868; 3874; 3901; 3903; 3910; 3920; 3922; 3930; 3962; 3984; 3994; 3998; 4005; 4053; 4068; 4069; 4080; 4099; 4117; 4139; 4164; 4183; 4200; 4207; 4231; 4241; 4263; 4264; 4277; 4358; 4395; 4403; 4415; 4420; 4463; 4466; 4486; 4491; 4533; 4535; 4537; 4567; 4570; 4573; 4575; 4581; 4637; 4707; 4715; 4741; 4778; 4783; 4814; 4833; 4875; 4906; 4913; 4918; 4925; 4962; 4980
DAWN, 55, 407; 552; 659; 755; 960; 1008; 1015; 1022; 1080; 1089; 1233; 1312; 1335; 1369; 1388; 1533; 1735; 1882; 1928; 2147; 2296; 2302; 2333; 2386; 2556; 2710; 2802; 2843; 2846; 2867; 2924; 2932; 3135; 3196; 3206; 3208; 3243; 3469; 3506; 3604; 3617; 3668; 3726; 3746; 3812; 3821; 3831; 3834; 3891; 4019; 4095; 4360; 4572; 4845; 4920
DAYLIGHT, 166, 9; 13; 24; 28; 75; 78; 83; 146; 190; 199; 332; 348; 360; 376; 382; 395; 421; 425; 460; 555; 560; 746; 753; 756; 763; 776; 794; 799; 840; 860; 867; 893; 960; 963; 964; 968; 972; 993; 1042; 1099; 1100; 1181; 1251; 1261; 1335; 1383; 1411; 1435; 1475; 1550; 1568; 1638; 1655; 1722; 1735; 1802; 1838; 1854; 1897; 1929; 1936; 1939; 1975; 1983; 1988; 2050; 2086; 2087; 2121; 2191; 2220; 2289; 2293; 2321; 2358; 2376; 2386; 2411; 2432; 2451; 2459; 2497; 2523; 2545; 2653; 2663; 2705; 2717; 2733; 2738; 2784; 2808; 2820; 2910; 2943; 2965; 2990; 3036; 3045; 3059; 3094; 3107; 3120; 3135; 3154; 3215; 3249; 3261; 3272; 3316; 3329; 3334; 3496; 3547; 3579; 3583; 3616; 3662; 3677; 3738; 3784; 3785; 3794; 3857; 3868; 3874; 3911; 3936; 3951; 3964; 3988; 4019; 4054; 4103; 4117; 4163; 4203; 4206; 4207; 4223; 4255; 4267; 4294; 4309; 4327; 4394; 4440; 4442; 4575; 4616; 4655; 4659; 4705; 4745; 4808; 4860; 4879; 4903; 4910; 4933; 4953; 4957; 4987; 5009; 5015; 5019
DAYTIME, 20, 190; 237; 377; 1474; 2147; 2386; 2441; 2461; 2639; 2702; 2923; 3531; 3835; 3849; 4450; 4476; 4562; 4788; 4789; 4869
DUSK, 172, 0; 27; 45; 136; 151; 165; 200; 230; 251; 252; 291; 347; 371; 381; 401; 504; 507; 526; 528; 555; 566; 594; 600; 635; 661; 697; 721; 833; 856; 886; 908; 936; 943; 949; 960; 967; 991; 995; 1001; 1016; 1022; 1046; 1102; 1109; 1148; 1155; 1207; 1225; 1264; 1315; 1351; 1396; 1402; 1460; 1486; 1494; 1500; 1524; 1538; 1566; 1570; 1589; 1595; 1624; 1694; 1736; 1745; 1770; 1774; 1775; 1832; 1840; 1848; 1926; 1929; 1932; 1943; 2031; 2040; 2051; 2076; 2079; 2085; 2097; 2143; 2147; 2201; 2203; 2218; 2250; 2258; 2278; 2298; 2301; 2322; 2332; 2333; 2359; 2411; 2467; 2469; 2543; 2606; 2710; 2736; 2796; 2798; 2894; 2932; 2941; 2948; 2953; 2982; 3069; 3083; 3104; 3115; 3143; 3154; 3247; 3276; 3299; 3322; 3369; 3371; 3463; 3506; 3507; 3528; 3553; 3564; 3632; 3656; 3671; 3718; 3724; 3746; 3774; 3794; 3817; 3825; 3877; 3884; 3888; 3922; 3970; 4117; 4118; 4129; 4177; 4184; 4249; 4255; 4361; 4370; 4373; 4535; 4563; 4711; 4723; 4829; 4848; 4903; 4913; 4915; 4957; 4966; 4973; 4988; 5000; 5002; 5013
EVENING, 512, 1; 2; 4; 9; 23; 34; 46; 49; 60; 111; 147; 150; 164; 165; 170; 195; 211; 220; 243; 244; 245; 267; 275; 278; 283; 303; 321; 362; 373; 375; 378; 392; 399; 400; 401; 404; 408; 429; 470; 476; 479; 500; 504; 507; 509; 529; 538; 539; 554; 558; 562; 575; 579; 600; 612; 618; 633; 647; 651; 659; 676; 681; 684; 689; 702; 712; 727; 738; 742; 753; 764; 767; 776; 782; 784; 787; 797; 821; 825; 838; 842; 843; 859; 860; 867; 882; 897; 903; 921; 935; 938; 946; 951; 956; 963; 966; 970; 989; 994; 995; 996; 1001; 1002; 1016; 1026; 1028; 1039; 1051; 1060; 1066; 1083; 1085; 1101; 1109; 1112; 1122; 1142; 1148; 1153; 1186; 1193; 1195; 1200; 1204; 1211; 1220; 1229; 1242; 1244; 1266; 1272; 1283; 1285; 1287; 1309; 1333; 1335; 1343; 1346; 1354; 1356; 1363; 1369; 1373; 1383; 1389; 1396; 1403; 1406; 1412; 1420; 1441; 1442; 1448; 1457; 1485; 1488; 1508; 1528; 1529; 1533; 1547; 1548; 1549; 1550; 1558; 1570; 1572; 1579; 1593; 1600; 1607; 1608; 1610; 1616; 1621; 1628; 1629; 1631; 1636; 1657; 1673; 1678; 1684; 1697; 1705; 1732; 1736; 1739; 1746; 1750; 1755; 1773; 1774; 1775; 1779; 1784; 1798; 1816; 1819; 1822; 1829; 1831; 1833; 1835; 1839; 1840; 1849; 1866; 1878; 1882; 1891; 1897; 1900; 1903; 1908; 1916; 1919; 1924; 1932; 1936; 1988; 2019; 2038; 2051; 2058; 2060; 2062; 2063; 2072; 2076; 2086; 2087; 2090; 2094; 2102; 2120; 2123; 2141; 2147; 2165; 2173; 2192; 2198; 2201; 2202; 2203; 2218; 2228; 2238; 2257; 2264; 2265; 2270; 2286; 2289; 2297; 2299; 2303; 2311; 2319; 2331; 2335; 2342; 2348; 2358; 2376; 2383; 2386; 2387; 2389; 2390; 2391; 2400; 2402; 2414; 2419; 2447; 2453; 2459; 2462; 2467; 2469; 2483; 2491; 2499; 2515; 2524; 2528; 2541; 2558; 2577; 2619; 2633; 2645; 2650; 2675; 2677; 2686; 2692; 2694; 2707; 2720; 2738; 2744; 2749; 2754; 2789; 2791; 2808; 2815; 2826; 2832; 2847; 2849; 2855; 2862; 2888; 2908; 2909; 2932; 2959; 2968; 2975; 2982; 2985; 3002; 3008; 3020; 3046; 3052; 3053; 3060; 3067; 3069; 3082; 3083; 3094; 3100; 3107; 3132; 3137; 3141; 3149; 3153; 3159; 3177; 3187; 3188; 3192; 3196; 3220; 3225; 3242; 3245; 3250; 3272; 3281; 3311; 3319; 3355; 3364; 3399; 3402; 3403; 3438; 3447; 3462; 3464; 3467; 3479; 3494; 3496; 3504; 3507; 3511; 3519; 3531; 3533; 3536; 3547; 3553; 3562; 3564; 3569; 3571; 3575; 3583; 3588; 3595; 3619; 3622; 3626; 3635; 3652; 3653; 3662; 3671; 3672; 3692; 3703; 3707; 3713; 3734; 3735; 3738; 3747; 3774; 3778; 3785; 3794; 3796; 3813; 3819; 3835; 3838; 3843; 3849; 3850; 3876; 3887; 3934; 3935; 3939; 3943; 3965; 3968; 3978; 3986; 3988; 3996; 4004; 4032; 4035; 4042; 4046; 4055; 4060; 4092; 4112; 4118; 4129; 4151; 4153; 4154; 4175; 4186; 4194; 4198; 4201; 4225; 4226; 4239; 4241; 4286; 4326; 4336; 4349; 4358; 4361; 4387; 4397; 4432; 4444; 4450; 4467; 4473; 4489; 4490; 4498; 4505; 4538; 4555; 4556; 4559; 4572; 4575; 4582; 4589; 4603; 4612; 4623; 4624; 4636; 4694; 4700; 4728; 4736; 4742; 4770; 4800; 4805; 4820; 4833; 4843; 4854; 4864; 4873; 4879; 4889; 4891; 4905; 4906; 4910; 4916; 4918; 4920; 4935; 4952; 4988; 4992; 4995
MIDDAY, 7, 967; 1333; 1357; 2717; 3272; 3384; 4226
MIDNIGHT, 159, 27; 83; 90; 107; 114; 141; 144; 207; 220; 243; 268; 359; 442; 448; 476; 485; 510; 541; 591; 618; 622; 684; 701; 715; 785; 838; 853; 967; 991; 1004; 1008; 1009; 1016; 1067; 1100; 1118; 1139; 1268; 1297; 1343; 1344; 1388; 1424; 1450; 1460; 1497; 1519; 1564; 1571; 1584; 1681; 1698; 1704; 1749; 1760; 1916; 1930; 1941; 1970; 2022; 2064; 2091; 2118; 2151; 2159; 2161; 2178; 2182; 2228; 2313; 2321; 2328; 2329; 2352; 2355; 2388; 2411; 2414; 2497; 2499; 2500; 2518; 2533; 2557; 2559; 2605; 2669; 2692; 2697; 2705; 2706; 2709; 2752; 2792; 2869; 2889; 2923; 2975; 3010; 3030; 3035; 3105; 3111; 3112; 3120; 3123; 3166; 3205; 3254; 3318; 3344; 3380; 3390; 3474; 3482; 3486; 3503; 3512; 3525; 3526; 3543; 3560; 3585; 3599; 3607; 3638; 3652; 3740; 3768; 3779; 3796; 3837; 3838; 3893; 3921; 3951; 3977; 3986; 4089; 4157; 4204; 4226; 4241; 4244; 4247; 4333; 4381; 4436; 4455; 4473; 4610; 4614; 4645; 4774; 4871; 4903; 4906; 4935; 4963
MOONLIGHT, 61, 46; 87; 208; 257; 263; 275; 312; 399; 419; 590; 725; 781; 936; 961; 1094; 1203; 1739; 1806; 1830; 1879; 2009; 2076; 2086; 2087; 2109; 2125; 2151; 2221; 2302; 2398; 2707; 2784; 2821; 2885; 2947; 2975; 3042; 3118; 3166; 3251; 3263; 3316; 3447; 3469; 3509; 3582; 3943; 3965; 3966; 4020; 4171; 4397; 4434; 4447; 4476; 4824; 4830; 4840; 4856; 5003; 5006
MORNING, 1019, 2; 23; 27; 44; 45; 48; 55; 61; 64; 71; 87; 89; 90; 93; 94; 105; 106; 110; 111; 113; 118; 127; 128; 131; 134; 137; 140; 141; 148; 151; 166; 173; 180; 199; 203; 205; 223; 228; 233; 234; 237; 242; 243; 246; 252; 255; 257; 263; 264; 267; 268; 269; 271; 273; 274; 275; 277; 278; 284; 288; 289; 291; 300; 302; 309; 310; 314; 318; 321; 322; 326; 334; 335; 339; 352; 359; 360; 362; 367; 377; 384; 386; 389; 408; 414; 416; 419; 421; 422; 424; 426; 427; 441; 448; 451; 461; 491; 493; 495; 496; 504; 505; 508; 518; 519; 522; 531; 536; 539; 542; 546; 547; 552; 570; 571; 576; 583; 586; 588; 590; 592; 600; 603; 614; 621; 632; 635; 637; 638; 640; 643; 645; 650; 653; 655; 657; 659; 664; 672; 673; 674; 689; 691; 697; 698; 701; 703; 706; 709; 714; 719; 727; 728; 731; 733; 742; 761; 767; 775; 791; 795; 804; 828; 830; 840; 844; 846; 851; 854; 860; 865; 867; 872; 873; 874; 880; 882; 883; 893; 894; 895; 897; 903; 904; 911; 913; 922; 931; 932; 936; 940; 946; 950; 952; 959; 962; 968; 971; 981; 983; 994; 1004; 1006; 1008; 1013; 1023; 1024; 1025; 1048; 1055; 1057; 1062; 1065; 1073; 1079; 1087; 1089; 1098; 1099; 1100; 1111; 1112; 1124; 1125; 1129; 1139; 1155; 1159; 1171; 1181; 1193; 1196; 1198; 1200; 1203; 1205; 1206; 1213; 1216; 1231; 1232; 1239; 1245; 1246; 1249; 1250; 1253; 1268; 1277; 1302; 1304; 1308; 1309; 1312; 1326; 1329; 1340; 1341; 1343; 1344; 1346; 1353; 1354; 1363; 1369; 1377; 1379; 1382; 1383; 1388; 1393; 1395; 1408; 1413; 1419; 1420; 1421; 1423; 1425; 1432; 1456; 1459; 1460; 1464; 1470; 1475; 1477; 1495; 1496; 1505; 1508; 1523; 1526; 1527; 1528; 1533; 1540; 1543; 1547; 1550; 1561; 1562; 1577; 1580; 1595; 1607; 1614; 1619; 1621; 1629; 1638; 1648; 1651; 1655; 1663; 1666; 1677; 1678; 1686; 1688; 1703; 1704; 1705; 1720; 1732; 1735; 1736; 1747; 1749; 1751; 1753; 1756; 1767; 1768; 1776; 1777; 1783; 1787; 1792; 1801; 1802; 1806; 1825; 1830; 1831; 1832; 1835; 1837; 1842; 1848; 1850; 1852; 1858; 1876; 1884; 1886; 1888; 1890; 1891; 1892; 1894; 1897; 1914; 1917; 1918; 1933; 1934; 1936; 1944; 1946; 1959; 1979; 1983; 1984; 1990; 2006; 2013; 2020; 2025; 2028; 2030; 2033; 2043; 2046; 2050; 2051; 2054; 2069; 2077; 2087; 2088; 2096; 2098; 2110; 2112; 2118; 2121; 2131; 2140; 2141; 2143; 2149; 2167; 2173; 2174; 2175; 2179; 2184; 2191; 2203; 2210; 2212; 2215; 2218; 2227; 2228; 2232; 2234; 2247; 2249; 2253; 2262; 2265; 2272; 2273; 2279; 2282; 2289; 2291; 2295; 2297; 2308; 2322; 2324; 2328; 2335; 2337; 2338; 2341; 2349; 2363; 2374; 2376; 2378; 2380; 2385; 2386; 2390; 2391; 2411; 2413; 2414; 2423; 2425; 2430; 2432; 2443; 2447; 2451; 2454; 2464; 2466; 2468; 2469; 2475; 2477; 2480; 2495; 2497; 2498; 2499; 2505; 2514; 2523; 2532; 2533; 2543; 2544; 2562; 2572; 2573; 2574; 2578; 2580; 2596; 2602; 2611; 2613; 2615; 2617; 2618; 2620; 2624; 2627; 2637; 2639; 2642; 2644; 2648; 2649; 2661; 2675; 2684; 2686; 2689; 2690; 2691; 2697; 2705; 2707; 2708; 2709; 2710; 2712; 2713; 2715; 2718; 2723; 2732; 2739; 2749; 2758; 2759; 2761; 2762; 2771; 2772; 2782; 2790; 2791; 2793; 2796; 2801; 2812; 2821; 2827; 2835; 2836; 2846; 2854; 2858; 2860; 2861; 2863; 2875; 2888; 2891; 2899; 2901; 2902; 2914; 2918; 2921; 2924; 2926; 2928; 2929; 2930; 2938; 2939; 2946; 2952; 2956; 2960; 2976; 2977; 2980; 2981; 2990; 3002; 3004; 3005; 3010; 3012; 3014; 3021; 3022; 3024; 3025; 3026; 3027; 3029; 3031; 3034; 3035; 3036; 3043; 3045; 3048; 3050; 3051; 3056; 3084; 3086; 3096; 3097; 3103; 3107; 3110; 3116; 3118; 3124; 3135; 3137; 3141; 3162; 3181; 3188; 3194; 3197; 3198; 3206; 3207; 3208; 3211; 3214; 3230; 3234; 3243; 3246; 3247; 3249; 3250; 3252; 3262; 3269; 3272; 3283; 3292; 3299; 3311; 3317; 3318; 3321; 3328; 3332; 3338; 3345; 3353; 3358; 3364; 3367; 3369; 3378; 3382; 3383; 3386; 3388; 3389; 3390; 3391; 3397; 3399; 3401; 3403; 3407; 3408; 3409; 3410; 3417; 3419; 3424; 3428; 3430; 3436; 3437; 3438; 3447; 3449; 3456; 3457; 3459; 3462; 3463; 3464; 3465; 3469; 3473; 3477; 3478; 3479; 3481; 3484; 3485; 3486; 3488; 3489; 3495; 3496; 3502; 3503; 3506; 3507; 3509; 3519; 3520; 3522; 3525; 3526; 3528; 3531; 3533; 3538; 3539; 3541; 3542; 3543; 3544; 3546; 3547; 3549; 3550; 3554; 3558; 3559; 3561; 3564; 3565; 3569; 3572; 3575; 3580; 3583; 3588; 3595; 3600; 3601; 3604; 3605; 3607; 3612; 3614; 3616; 3617; 3621; 3625; 3626; 3632; 3635; 3639; 3652; 3662; 3663; 3666; 3667; 3669; 3670; 3673; 3676; 3681; 3685; 3691; 3703; 3705; 3706; 3709; 3710; 3720; 3721; 3726; 3727; 3728; 3731; 3732; 3735; 3738; 3740; 3746; 3750; 3757; 3760; 3762; 3765; 3767; 3778; 3779; 3785; 3786; 3789; 3794; 3796; 3799; 3800; 3801; 3809; 3812; 3813; 3818; 3820; 3822; 3829; 3832; 3834; 3835; 3838; 3855; 3857; 3860; 3863; 3866; 3870; 3873; 3875; 3884; 3888; 3896; 3905; 3909; 3910; 3921; 3922; 3925; 3926; 3934; 3935; 3938; 3949; 3950; 3951; 3953; 3961; 3967; 3978; 3984; 3985; 3986; 3987; 3989; 3994; 4004; 4009; 4019; 4025; 4033; 4035; 4042; 4047; 4052; 4062; 4068; 4069; 4076; 4082; 4086; 4090; 4094; 4097; 4100; 4105; 4112; 4113; 4117; 4121; 4125; 4127; 4137; 4142; 4145; 4152; 4154; 4156; 4159; 4175; 4181; 4184; 4188; 4192; 4198; 4206; 4207; 4210; 4213; 4225; 4227; 4231; 4232; 4238; 4252; 4254; 4266; 4275; 4277; 4284; 4292; 4293; 4298; 4300; 4302; 4310; 4317; 4326; 4327; 4330; 4339; 4344; 4351; 4353; 4358; 4360; 4384; 4387; 4397; 4400; 4402; 4406; 4415; 4418; 4430; 4440; 4441; 4442; 4443; 4451; 4453; 4457; 4460; 4467; 4469; 4471; 4476; 4477; 4479; 4480; 4482; 4489; 4495; 4497; 4505; 4513; 4519; 4525; 4530; 4538; 4550; 4556; 4562; 4566; 4567; 4570; 4572; 4573; 4581; 4593; 4597; 4599; 4606; 4611; 4612; 4615; 4625; 4633; 4644; 4648; 4659; 4662; 4670; 4675; 4700; 4701; 4707; 4708; 4748; 4756; 4763; 4767; 4772; 4777; 4778; 4784; 4789; 4790; 4799; 4800; 4804; 4807; 4808; 4812; 4821; 4823; 4824; 4830; 4841; 4843; 4846; 4858; 4863; 4866; 4877; 4884; 4903; 4912; 4916; 4917; 4918; 4921; 4929; 4933; 4935; 4938; 4947; 4950; 4951; 4952; 4953; 4961; 4969; 4970; 4987; 4997; 4998; 4999; 5009; 5010; 5013; 5014; 5016; 5017; 5018; 5019
