word,no_of_reports_containing_word,reports
BREEZY, 17, 34899.0; 8944.0; 3624.0; 3122.0; 799.0; 1168.0; 9627.0; 8039.0; 45360.0; 47014.0; 1391.0; 3072.0; 2249.0; 15310.0; 28637.0; 38309.0; 2033.0
CLEAR, 1607, 30680.0; 8000.0; 9765.0; 31940.0; 55269.0; 59757.0; 751.0; 27743.0; 49883.0; 28886.0; 5770.0; 3180.0; 7085.0; 6643.0; 63148.0; 63362.0; 51959.0; 12636.0; 1533.0; 562.0; 65664.0; 10357.0; 40412.0; 59607.0; 36008.0; 37974.0; 3337.0; 6267.0; 49977.0; 3335.0; 1939.0; 4676.0; 23615.0; 30735.0; 50721.0; 30757.0; 67540.0; 3334.0; 9750.0; 30438.0; 39279.0; 26299.0; 3331.0; 43204.0; 18943.0; 42999.0; 2054.0; 12562.0; 6410.0; 7809.0; 12482.0; 25241.0; 9313.0; 23046.0; 6623.0; 1192.0; 6668.0; 38762.0; 6186.0; 66051.0; 1452.0; 10046.0; 4273.0; 20608.0; 16308.0; 24928.0; 29139.0; 24738.0; 10918.0; 16248.0; 29336.0; 1505.0; 39639.0; 1558.0; 49096.0; 48403.0; 51934.0; 1975.0; 51500.0; 20011.0; 28218.0; 9992.0; 3461.0; 20780.0; 12994.0; 9918.0; 10114.0; 23585.0; 1553.0; 12418.0; 491.0; 12271.0; 12915.0; 26414.0; 1427.0; 14232.0; 23784.0; 50025.0; 45903.0; 45647.0; 22386.0; 2405.0; 25631.0; 5022.0; 5685.0; 13874.0; 3614.0; 18122.0; 7939.0; 5326.0; 5703.0; 25661.0; 13662.0; 2630.0; 4643.0; 5515.0; 68932.0; 10136.0; 2557.0; 20363.0; 6233.0; 16540.0; 21488.0; 26338.0; 65975.0; 7368.0; 27035.0; 1524.0; 22561.0; 1520.0; 5245.0; 8953.0; 26205.0; 7909.0; 15191.0; 64192.0; 7872.0; 63832.0; 145.0; 4589.0; 6062.0; 5229.0; 24435.0; 8406.0; 17189.0; 28998.0; 42745.0; 15885.0; 5267.0; 12157.0; 25715.0; 22569.0; 71997.0; 17317.0; 4982.0; 9042.0; 1405.0; 3399.0; 58458.0; 4970.0; 4964.0; 14223.0; 12789.0; 4959.0; 26709.0; 58702.0; 57659.0; 26369.0; 8944.0; 40580.0; 50393.0; 374.0; 5977.0; 4966.0; 12736.0; 40040.0; 7832.0; 5259.0; 982.0; 5406.0; 31246.0; 4972.0; 58086.0; 4973.0; 7932.0; 7940.0; 3381.0; 20259.0; 4762.0; 8042.0; 2332.0; 9281.0; 30622.0; 58053.0; 38835.0; 49614.0; 5778.0; 10925.0; 48372.0; 58177.0; 4672.0; 1751.0; 56346.0; 15969.0; 37656.0; 2902.0; 8450.0; 28499.0; 14646.0; 4837.0; 7026.0; 34555.0; 36011.0; 57435.0; 49909.0; 25553.0; 59332.0; 51430.0; 4176.0; 30369.0; 4202.0; 26011.0; 4081.0; 10074.0; 5681.0; 2789.0; 24512.0; 26767.0; 2909.0; 1888.0; 8811.0; 24682.0; 25703.0; 26554.0; 6541.0; 23637.0; 41634.0; 27711.0; 696.0; 697.0; 9785.0; 698.0; 701.0; 64019.0; 1829.0; 13348.0; 3042.0; 6513.0; 63286.0; 2041.0; 2386.0; 48479.0; 24399.0; 116.0; 681.0; 669.0; 7562.0; 1446.0; 671.0; 8680.0; 63738.0; 5100.0; 3820.0; 2681.0; 8986.0; 64111.0; 23771.0; 11016.0; 3780.0; 678.0; 8392.0; 682.0; 9352.0; 21154.0; 10977.0; 5529.0; 1778.0; 27479.0; 36505.0; 63141.0; 41378.0; 5350.0; 7642.0; 11818.0; 12156.0; 531.0; 548.0; 6734.0; 25907.0; 13653.0; 702.0; 695.0; 694.0; 15746.0; 980.0; 1065.0; 15747.0; 57323.0; 7785.0; 661.0; 8745.0; 7957.0; 1005.0; 10805.0; 3926.0; 1089.0; 14677.0; 26137.0; 4475.0; 656.0; 7662.0; 654.0; 85.0; 187.0; 3441.0; 8888.0; 24882.0; 26497.0; 44989.0; 45347.0; 658.0; 3766.0; 3148.0; 25531.0; 1031.0; 660.0; 9276.0; 2900.0; 37044.0; 7298.0; 412.0; 665.0; 11886.0; 36384.0; 12021.0; 96.0; 22599.0; 5563.0; 28777.0; 69564.0; 51283.0; 3567.0; 3569.0; 3401.0; 3559.0; 216.0; 30531.0; 17981.0; 856.0; 11228.0; 28012.0; 105.0; 15306.0; 14707.0; 21962.0; 48575.0; 10251.0; 3634.0; 3562.0; 2898.0; 2917.0; 637.0; 17035.0; 245.0; 45498.0; 37038.0; 1258.0; 1995.0; 1257.0; 26604.0; 23666.0; 30906.0; 571.0; 3360.0; 416.0; 799.0; 10498.0; 18376.0; 39383.0; 38022.0; 22899.0; 35293.0; 577.0; 273.0; 22969.0; 24451.0; 42692.0; 27568.0; 8635.0; 34224.0; 14082.0; 44986.0; 44479.0; 71896.0; 8921.0; 43963.0; 26196.0; 883.0; 51005.0; 1190.0; 29633.0; 39764.0; 882.0; 14638.0; 2347.0; 5929.0; 2349.0; 15107.0; 62744.0; 49902.0; 1621.0; 1620.0; 1645.0; 889.0; 9863.0; 59099.0; 1650.0; 1766.0; 3800.0; 3786.0; 1705.0; 3188.0; 5176.0; 9944.0; 9005.0; 8339.0; 13183.0; 67407.0; 50159.0; 6249.0; 1188.0; 1163.0; 5297.0; 6875.0; 815.0; 27037.0; 2943.0; 25031.0; 40106.0; 33611.0; 25298.0; 31121.0; 38946.0; 57401.0; 65867.0; 2554.0; 22973.0; 31025.0; 2953.0; 8389.0; 9544.0; 28023.0; 26245.0; 43968.0; 26782.0; 42056.0; 31444.0; 29178.0; 806.0; 23481.0; 808.0; 30090.0; 809.0; 20100.0; 19936.0; 17348.0; 19223.0; 35437.0; 42658.0; 67602.0; 812.0; 28945.0; 58621.0; 35671.0; 28668.0; 37553.0; 2537.0; 861.0; 29549.0; 7181.0; 32976.0; 39578.0; 59333.0; 2897.0; 29615.0; 46401.0; 22802.0; 23530.0; 15514.0; 19961.0; 38061.0; 19938.0; 24776.0; 796.0; 2914.0; 29091.0; 33559.0; 5694.0; 43145.0; 56552.0; 20002.0; 3227.0; 4777.0; 1059.0; 2677.0; 4945.0; 31166.0; 40293.0; 41411.0; 19655.0; 1219.0; 1064.0; 436.0; 4440.0; 27676.0; 42295.0; 46817.0; 59346.0; 67381.0; 26617.0; 26095.0; 41427.0; 1148.0; 23581.0; 58937.0; 27800.0; 14493.0; 10620.0; 49518.0; 45911.0; 24426.0; 5085.0; 1120.0; 39615.0; 63367.0; 36407.0; 62393.0; 38339.0; 56614.0; 12528.0; 18278.0; 65691.0; 8890.0; 69316.0; 2180.0; 11823.0; 41395.0; 56438.0; 51882.0; 66063.0; 26919.0; 24767.0; 55997.0; 20677.0; 29980.0; 44283.0; 45851.0; 59450.0; 23686.0; 1100.0; 12054.0; 65277.0; 3483.0; 48655.0; 6775.0; 50717.0; 11453.0; 5123.0; 24879.0; 5286.0; 58092.0; 9840.0; 18219.0; 8429.0; 1345.0; 27167.0; 27012.0; 12290.0; 35789.0; 25874.0; 64096.0; 1338.0; 976.0; 5381.0; 16962.0; 67219.0; 18902.0; 13170.0; 993.0; 41739.0; 13673.0; 12205.0; 63646.0; 25915.0; 13691.0; 29455.0; 23645.0; 6445.0; 11682.0; 16013.0; 14383.0; 36205.0; 6461.0; 7884.0; 27522.0; 6444.0; 29223.0; 24547.0; 6419.0; 6418.0; 23823.0; 3008.0; 1947.0; 10740.0; 32537.0; 11328.0; 29403.0; 27486.0; 31005.0; 11765.0; 29794.0; 25377.0; 4542.0; 15060.0; 23531.0; 2050.0; 34260.0; 29704.0; 493.0; 4381.0; 8530.0; 4158.0; 63665.0; 1213.0; 4156.0; 4143.0; 4141.0; 7653.0; 11325.0; 11451.0; 7546.0; 33336.0; 11987.0; 28873.0; 1063.0; 29092.0; 11687.0; 4139.0; 8832.0; 51821.0; 24905.0; 8857.0; 9169.0; 10272.0; 10733.0; 9627.0; 11543.0; 12858.0; 45616.0; 48243.0; 50643.0; 9879.0; 63193.0; 19666.0; 8547.0; 400.0; 9810.0; 39137.0; 30238.0; 55412.0; 10506.0; 6941.0; 7652.0; 7552.0; 7505.0; 15627.0; 20685.0; 57103.0; 7664.0; 55236.0; 13028.0; 42473.0; 44678.0; 3587.0; 62746.0; 2397.0; 7669.0; 7519.0; 7303.0; 28305.0; 1431.0; 7568.0; 50045.0; 8038.0; 63243.0; 40420.0; 1527.0; 1526.0; 26179.0; 24500.0; 24530.0; 17259.0; 23291.0; 23264.0; 3393.0; 30430.0; 24970.0; 10277.0; 47408.0; 63492.0; 25233.0; 2115.0; 18189.0; 1436.0; 37817.0; 23822.0; 29013.0; 25265.0; 2351.0; 24602.0; 16744.0; 35467.0; 2286.0; 17326.0; 67485.0; 4077.0; 33256.0; 31648.0; 71904.0; 65423.0; 31631.0; 42064.0; 62934.0; 46502.0; 35477.0; 67232.0; 27472.0; 19906.0; 2283.0; 22865.0; 13212.0; 14952.0; 33887.0; 36591.0; 40534.0; 36202.0; 1768.0; 20257.0; 49993.0; 55476.0; 6406.0; 1180.0; 13345.0; 1179.0; 63218.0; 49746.0; 6425.0; 26440.0; 1395.0; 741.0; 30051.0; 5453.0; 5452.0; 12803.0; 4380.0; 1781.0; 24714.0; 1777.0; 3202.0; 28409.0; 22475.0; 9811.0; 12523.0; 15939.0; 24373.0; 27865.0; 57182.0; 47107.0; 65538.0; 9168.0; 1568.0; 2760.0; 8197.0; 12689.0; 58133.0; 7597.0; 9392.0; 17570.0; 47872.0; 47471.0; 48777.0; 1102.0; 29609.0; 1573.0; 6303.0; 58357.0; 9868.0; 11930.0; 10653.0; 1724.0; 28788.0; 1731.0; 1595.0; 32824.0; 1600.0; 3400.0; 23033.0; 495.0; 16364.0; 6990.0; 20591.0; 24612.0; 24835.0; 36310.0; 50160.0; 49869.0; 61066.0; 58048.0; 8456.0; 10509.0; 59331.0; 28308.0; 31052.0; 59279.0; 39858.0; 4323.0; 43911.0; 1722.0; 1672.0; 42736.0; 1077.0; 7229.0; 1529.0; 8597.0; 9128.0; 23170.0; 26448.0; 36318.0; 47115.0; 1691.0; 66003.0; 898.0; 50212.0; 3673.0; 51816.0; 50039.0; 58779.0; 58220.0; 67619.0; 1682.0; 1587.0; 34710.0; 1263.0; 2195.0; 9197.0; 17539.0; 63451.0; 62354.0; 1689.0; 382.0; 26065.0; 25999.0; 26447.0; 55451.0; 925.0; 1973.0; 9295.0; 927.0; 1109.0; 13063.0; 14534.0; 48932.0; 56827.0; 69270.0; 9510.0; 10091.0; 28087.0; 28739.0; 35409.0; 65667.0; 937.0; 28123.0; 61157.0; 938.0; 4669.0; 1612.0; 26567.0; 57244.0; 2599.0; 946.0; 7455.0; 1131.0; 28781.0; 14112.0; 10062.0; 12838.0; 24898.0; 23493.0; 23558.0; 24216.0; 24379.0; 28532.0; 42448.0; 17903.0; 65807.0; 25462.0; 42408.0; 39025.0; 942.0; 945.0; 3613.0; 12098.0; 12844.0; 23068.0; 46477.0; 57781.0; 1384.0; 1387.0; 24568.0; 8670.0; 23062.0; 12510.0; 26403.0; 1390.0; 8748.0; 9096.0; 77.0; 1160.0; 1687.0; 9175.0; 1996.0; 36852.0; 2804.0; 25470.0; 38361.0; 5516.0; 63091.0; 5507.0; 8121.0; 59659.0; 59421.0; 43915.0; 19917.0; 48359.0; 8435.0; 40718.0; 38005.0; 12862.0; 12959.0; 29124.0; 25062.0; 51471.0; 1205.0; 3826.0; 8796.0; 50589.0; 7727.0; 30154.0; 13083.0; 35244.0; 23411.0; 23648.0; 18793.0; 26279.0; 203.0; 13312.0; 1207.0; 15475.0; 1201.0; 10945.0; 3582.0; 34043.0; 43193.0; 23762.0; 30028.0; 31404.0; 1202.0; 1203.0; 26354.0; 15355.0; 1069.0; 23227.0; 9567.0; 12087.0; 1456.0; 23745.0; 28954.0; 56576.0; 26124.0; 67271.0; 1516.0; 28017.0; 50826.0; 4552.0; 23018.0; 24413.0; 1282.0; 25364.0; 1198.0; 51359.0; 28667.0; 65996.0; 20670.0; 25719.0; 49512.0; 1241.0; 903.0; 2216.0; 47225.0; 15926.0; 21193.0; 7211.0; 22101.0; 1818.0; 24818.0; 45652.0; 6470.0; 42885.0; 25056.0; 8251.0; 15621.0; 13516.0; 10919.0; 5607.0; 26750.0; 11430.0; 4089.0; 59520.0; 38015.0; 7971.0; 29503.0; 57471.0; 39922.0; 40101.0; 56735.0; 4095.0; 8420.0; 8819.0; 28839.0; 4096.0; 10913.0; 5316.0; 50541.0; 2494.0; 1944.0; 1640.0; 62851.0; 8913.0; 2774.0; 37010.0; 46380.0; 58768.0; 36178.0; 9507.0; 25975.0; 1606.0; 24405.0; 8685.0; 11858.0; 16580.0; 26297.0; 45320.0; 69323.0; 440.0; 7776.0; 38375.0; 15178.0; 10877.0; 1028.0; 9506.0; 20235.0; 16520.0; 21348.0; 23440.0; 24218.0; 24732.0; 28642.0; 32251.0; 41981.0; 49293.0; 55195.0; 29441.0; 23358.0; 44485.0; 42364.0; 27495.0; 7969.0; 1637.0; 55376.0; 7045.0; 5160.0; 24456.0; 46330.0; 2779.0; 2816.0; 4446.0; 2817.0; 63560.0; 20197.0; 11162.0; 7555.0; 2770.0; 2855.0; 3683.0; 11496.0; 835.0; 15540.0; 18298.0; 38933.0; 2858.0; 1473.0; 174.0; 2842.0; 13424.0; 8069.0; 22431.0; 22434.0; 5649.0; 6824.0; 21354.0; 27819.0; 32654.0; 25009.0; 6706.0; 1114.0; 160.0; 2579.0; 2581.0; 2819.0; 2820.0; 2873.0; 405.0; 13419.0; 7115.0; 8729.0; 12328.0; 9357.0; 2431.0; 4887.0; 19448.0; 24795.0; 24877.0; 24938.0; 42148.0; 65943.0; 1954.0; 7097.0; 2887.0; 2333.0; 2886.0; 24574.0; 615.0; 25648.0; 16722.0; 24277.0; 3612.0; 10718.0; 1643.0; 83.0; 9648.0; 2182.0; 8345.0; 528.0; 8183.0; 2935.0; 1108.0; 1794.0; 11519.0; 2998.0; 1665.0; 7988.0; 2151.0; 2859.0; 2755.0; 3798.0; 7452.0; 7504.0; 13362.0; 63645.0; 21684.0; 1036.0; 5251.0; 6854.0; 7778.0; 9661.0; 22598.0; 15039.0; 325.0; 2249.0; 1634.0; 15013.0; 21674.0; 13287.0; 4182.0; 15782.0; 24146.0; 97.0; 2942.0; 12383.0; 49896.0; 5463.0; 9555.0; 15174.0; 2326.0; 21808.0; 65566.0; 2227.0; 2212.0; 166.0; 803.0; 15630.0; 1372.0; 13699.0; 1369.0; 3112.0; 4897.0; 22801.0; 7036.0; 3588.0; 5493.0; 41935.0; 62497.0; 7336.0; 9898.0; 12818.0; 39181.0; 1548.0; 26850.0; 4366.0; 431.0; 9051.0; 5260.0; 1549.0; 1551.0; 62496.0; 1655.0; 4845.0; 6946.0; 7702.0; 6746.0; 2137.0; 147.0; 353.0; 3794.0; 11948.0; 8595.0; 15821.0; 12518.0; 15344.0; 21165.0; 2996.0; 4929.0; 8868.0; 18325.0; 513.0; 1366.0; 25511.0; 2553.0; 1355.0; 1251.0; 27075.0; 39520.0; 17767.0; 1359.0; 3506.0; 3710.0; 15278.0; 3664.0; 1760.0; 45666.0; 46805.0; 2667.0; 3604.0; 12904.0; 30058.0; 26671.0; 44401.0; 6538.0; 7827.0; 3606.0; 23330.0; 16408.0; 13585.0; 48101.0; 63731.0; 69612.0; 13411.0; 67551.0; 1352.0; 1350.0; 23065.0; 19804.0; 24068.0; 34078.0; 4795.0; 32746.0; 25577.0; 15694.0; 36004.0; 41275.0; 731.0; 33612.0; 737.0; 42293.0; 11812.0; 24032.0; 1608.0; 51800.0; 24893.0; 10192.0; 10867.0; 1079.0; 24134.0; 59236.0; 7109.0; 40019.0; 28200.0; 32203.0; 13961.0; 32426.0; 23399.0; 724.0; 13976.0; 5510.0; 725.0; 23696.0; 1480.0; 22358.0; 31153.0; 34954.0; 50462.0; 20333.0; 6992.0; 9885.0; 38165.0; 430.0; 27250.0; 1407.0; 40935.0; 11387.0; 42726.0; 5369.0; 38104.0; 71801.0; 730.0; 25037.0; 67412.0; 67590.0; 7904.0; 14021.0; 723.0; 7792.0; 246.0; 2657.0; 16683.0; 722.0; 28678.0; 45137.0; 35270.0; 8316.0; 16727.0; 18065.0; 18349.0; 24078.0; 27347.0; 28355.0; 721.0; 22122.0; 24656.0; 1719.0; 49084.0; 38893.0; 8514.0; 14719.0; 34426.0; 11762.0; 56165.0; 41448.0; 33088.0; 5519.0; 30730.0; 21402.0; 23978.0; 13178.0; 27076.0; 26276.0; 23247.0; 51044.0; 38764.0; 594.0; 1831.0; 9818.0; 17308.0; 17089.0; 18707.0; 47523.0; 26019.0; 14887.0; 18044.0; 32254.0; 57053.0; 8405.0; 7575.0; 24393.0; 8454.0; 2393.0; 18001.0; 35352.0; 30483.0; 15457.0; 1865.0; 9712.0; 43059.0; 7113.0; 31888.0; 69052.0; 7004.0; 25485.0; 10874.0; 25084.0; 26713.0; 22945.0; 26927.0; 32489.0; 3049.0; 2264.0; 1630.0; 25071.0; 30530.0; 2170.0; 37336.0; 1234.0; 9089.0; 41700.0; 24224.0; 5720.0; 57784.0; 18958.0; 3085.0; 13717.0; 38287.0; 6758.0; 12913.0; 67401.0; 6391.0; 59472.0; 69141.0; 41845.0; 24056.0; 2060.0; 1795.0; 4987.0; 28386.0; 29357.0; 29020.0; 20802.0; 2059.0; 20221.0; 56861.0; 58026.0; 58251.0; 20884.0; 11070.0; 50124.0; 12919.0; 57303.0; 47249.0; 37856.0; 42547.0; 27374.0; 28545.0; 28370.0; 29495.0; 31062.0; 29612.0; 28144.0; 47403.0; 33638.0; 50965.0; 50341.0; 38295.0; 49954.0; 29287.0; 24544.0; 24354.0; 47469.0; 29241.0; 55386.0; 39852.0; 49302.0; 25924.0; 36406.0; 40714.0; 39568.0; 27387.0; 28429.0; 27692.0; 36702.0; 30645.0; 10879.0; 32616.0; 28940.0; 38032.0; 37988.0; 2901.0; 24673.0; 37697.0; 14404.0; 3521.0; 33911.0; 30367.0; 33426.0; 44644.0; 28110.0; 2805.0; 36567.0; 28714.0; 31968.0; 28569.0; 11831.0; 12439.0; 69321.0; 23760.0; 36306.0; 39267.0; 40120.0; 50208.0; 42730.0; 23395.0; 28423.0; 874.0; 14336.0; 1790.0; 2472.0; 71920.0; 28525.0; 30601.0; 38395.0; 45041.0; 47720.0; 1786.0; 6534.0; 9245.0; 19588.0; 2406.0; 28861.0; 8438.0; 1696.0; 26587.0; 292.0; 29032.0; 25454.0; 29386.0; 2464.0; 4635.0; 26939.0; 2475.0; 2459.0; 2458.0; 2457.0; 40035.0; 1326.0; 35828.0; 26790.0; 36746.0; 7709.0; 4466.0; 49480.0; 65536.0; 25860.0; 59633.0; 5623.0; 65984.0; 35984.0; 69193.0; 71854.0; 2430.0; 23730.0; 22981.0; 5881.0; 2425.0; 2429.0; 4624.0; 36229.0; 2390.0; 6210.0; 27323.0; 55870.0; 1488.0; 27399.0; 18174.0; 11966.0; 27589.0; 50318.0; 44861.0; 46334.0; 56202.0; 2383.0; 2382.0; 6632.0; 2363.0; 40278.0; 38980.0; 33187.0; 22941.0; 1171.0; 30267.0
CLOUDY, 239, 28230.0; 12640.0; 69269.0; 20870.0; 22905.0; 10046.0; 40462.0; 16701.0; 52031.0; 11841.0; 1525.0; 64192.0; 4286.0; 10421.0; 4976.0; 5030.0; 28998.0; 65393.0; 14035.0; 4498.0; 1507.0; 56073.0; 4299.0; 26149.0; 2696.0; 46834.0; 3731.0; 37259.0; 71751.0; 40360.0; 57944.0; 24512.0; 26711.0; 12204.0; 9376.0; 3240.0; 700.0; 191.0; 1829.0; 3964.0; 676.0; 10324.0; 8025.0; 9352.0; 9020.0; 15067.0; 531.0; 690.0; 10034.0; 651.0; 9797.0; 655.0; 14841.0; 42352.0; 36671.0; 9534.0; 3231.0; 45958.0; 8792.0; 7031.0; 597.0; 7963.0; 26886.0; 50178.0; 5929.0; 4779.0; 4738.0; 6559.0; 8451.0; 1129.0; 7399.0; 1811.0; 4502.0; 43889.0; 43733.0; 805.0; 35753.0; 800.0; 29435.0; 1471.0; 28935.0; 1064.0; 4440.0; 44428.0; 57305.0; 36572.0; 22448.0; 1136.0; 3667.0; 12528.0; 56937.0; 41195.0; 40087.0; 25874.0; 4839.0; 18632.0; 35914.0; 6444.0; 6420.0; 10486.0; 6443.0; 12815.0; 26829.0; 29403.0; 27486.0; 29704.0; 63665.0; 21850.0; 45616.0; 9367.0; 7534.0; 7758.0; 47702.0; 29315.0; 8039.0; 523.0; 16470.0; 35467.0; 2286.0; 40362.0; 7392.0; 34337.0; 1769.0; 20257.0; 6406.0; 30459.0; 68897.0; 24310.0; 16364.0; 15721.0; 50214.0; 12929.0; 48932.0; 69049.0; 20923.0; 946.0; 28781.0; 9373.0; 24562.0; 956.0; 1388.0; 24755.0; 17847.0; 11918.0; 39825.0; 7441.0; 77.0; 423.0; 50469.0; 20159.0; 23411.0; 7188.0; 15481.0; 28382.0; 21894.0; 8717.0; 1498.0; 1278.0; 20562.0; 32670.0; 4692.0; 22101.0; 11252.0; 5342.0; 62625.0; 37862.0; 27482.0; 59736.0; 40020.0; 7059.0; 63984.0; 12214.0; 17804.0; 20235.0; 34283.0; 24886.0; 3032.0; 26386.0; 2843.0; 5637.0; 8598.0; 9357.0; 1301.0; 615.0; 2210.0; 67556.0; 9661.0; 2212.0; 63607.0; 1374.0; 69394.0; 62902.0; 847.0; 58379.0; 24068.0; 26868.0; 15310.0; 746.0; 5702.0; 20333.0; 7205.0; 35218.0; 37203.0; 62240.0; 41995.0; 9001.0; 30135.0; 2589.0; 23978.0; 17308.0; 23808.0; 49286.0; 2218.0; 43611.0; 29318.0; 17249.0; 3085.0; 7180.0; 2059.0; 13070.0; 25362.0; 40841.0; 47403.0; 33638.0; 14872.0; 36571.0; 10197.0; 40476.0; 28679.0; 35427.0; 47649.0; 2168.0; 36246.0; 39990.0; 25454.0; 15119.0; 24674.0; 33097.0; 27589.0
COOL, 332, 6496.0; 5770.0; 4073.0; 1693.0; 1518.0; 65664.0; 40412.0; 6267.0; 9212.0; 23615.0; 67540.0; 18943.0; 22905.0; 4273.0; 56480.0; 40462.0; 3895.0; 8409.0; 50025.0; 55552.0; 5909.0; 2405.0; 7890.0; 68932.0; 1603.0; 70.0; 22561.0; 8953.0; 15191.0; 32620.0; 1851.0; 4978.0; 4980.0; 8017.0; 65393.0; 257.0; 4959.0; 42022.0; 57659.0; 26369.0; 23980.0; 30548.0; 41270.0; 69490.0; 26149.0; 1750.0; 47305.0; 8450.0; 10595.0; 59332.0; 58703.0; 7803.0; 63616.0; 62192.0; 8591.0; 698.0; 7562.0; 672.0; 4604.0; 11016.0; 678.0; 9352.0; 1778.0; 5350.0; 7789.0; 690.0; 1065.0; 57323.0; 1089.0; 624.0; 2026.0; 187.0; 3766.0; 25531.0; 36671.0; 11886.0; 22570.0; 25533.0; 2618.0; 48013.0; 5563.0; 51283.0; 11506.0; 15923.0; 17035.0; 25238.0; 3542.0; 15473.0; 27067.0; 28005.0; 45899.0; 1168.0; 6249.0; 1163.0; 27037.0; 33611.0; 22973.0; 38155.0; 20173.0; 35437.0; 67602.0; 28945.0; 32594.0; 15187.0; 59333.0; 22802.0; 908.0; 35753.0; 20423.0; 29091.0; 33559.0; 13049.0; 28935.0; 436.0; 44808.0; 62558.0; 1049.0; 25026.0; 1138.0; 65691.0; 69316.0; 1116.0; 49919.0; 29980.0; 19695.0; 11453.0; 26072.0; 41739.0; 24916.0; 1445.0; 36205.0; 27522.0; 32537.0; 11328.0; 26829.0; 27486.0; 4381.0; 10800.0; 28873.0; 29092.0; 7649.0; 8547.0; 55412.0; 8116.0; 7568.0; 9038.0; 40420.0; 24500.0; 24530.0; 10277.0; 15336.0; 29013.0; 25265.0; 22890.0; 16744.0; 45604.0; 33256.0; 31648.0; 65423.0; 46206.0; 13212.0; 14952.0; 33887.0; 31505.0; 36591.0; 1768.0; 20257.0; 29305.0; 22910.0; 28301.0; 4985.0; 28485.0; 47471.0; 3400.0; 1591.0; 16364.0; 5725.0; 30783.0; 62403.0; 967.0; 6527.0; 26448.0; 1113.0; 12997.0; 17539.0; 45360.0; 1973.0; 35409.0; 26035.0; 1226.0; 946.0; 12844.0; 37730.0; 1390.0; 22816.0; 69614.0; 9175.0; 23961.0; 63091.0; 7727.0; 1207.0; 34043.0; 7236.0; 24413.0; 65996.0; 1818.0; 45652.0; 7870.0; 11252.0; 26750.0; 39922.0; 44912.0; 28839.0; 13983.0; 440.0; 20235.0; 32251.0; 55195.0; 29441.0; 1733.0; 25625.0; 2248.0; 2770.0; 14323.0; 1473.0; 13424.0; 27609.0; 405.0; 8729.0; 22815.0; 24938.0; 2309.0; 816.0; 2886.0; 18403.0; 10718.0; 1643.0; 10265.0; 67556.0; 5294.0; 15013.0; 7860.0; 1510.0; 23768.0; 65566.0; 32905.0; 13441.0; 39181.0; 1548.0; 62496.0; 47165.0; 2960.0; 12165.0; 25511.0; 4614.0; 39520.0; 880.0; 25577.0; 731.0; 12732.0; 16823.0; 51800.0; 7109.0; 32249.0; 27250.0; 14457.0; 36634.0; 36218.0; 7792.0; 24619.0; 2915.0; 7237.0; 29529.0; 594.0; 56567.0; 26019.0; 4236.0; 43611.0; 2393.0; 29318.0; 18001.0; 30483.0; 3094.0; 26262.0; 2093.0; 17477.0; 1271.0; 32489.0; 9089.0; 24224.0; 18958.0; 12913.0; 4187.0; 15393.0; 28386.0; 58026.0; 27374.0; 29495.0; 33638.0; 49954.0; 29287.0; 24544.0; 32400.0; 39852.0; 29227.0; 40714.0; 67486.0; 28533.0; 38032.0; 14404.0; 18059.0; 28713.0; 11831.0; 40120.0; 39084.0; 23395.0; 874.0; 2406.0; 27274.0; 2475.0; 2457.0; 63795.0; 55789.0; 23730.0; 15767.0; 27941.0; 34502.0; 46624.0; 27399.0; 50064.0; 25242.0; 1171.0
CRISP, 38, 67540.0; 12482.0; 1975.0; 65393.0; 4986.0; 63178.0; 10595.0; 652.0; 49903.0; 30906.0; 13183.0; 17348.0; 28945.0; 37797.0; 27341.0; 26072.0; 50643.0; 40534.0; 29124.0; 26750.0; 40101.0; 38375.0; 26381.0; 7731.0; 2249.0; 15013.0; 13699.0; 6160.0; 3794.0; 18333.0; 24068.0; 32249.0; 11387.0; 23247.0; 594.0; 7004.0; 4187.0; 36306.0
